# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
soccer | מוּנְדִּיאָל | נַעֲלֵי פְּקָקִים | רַק בָּרַגְלַיִם
boxing | זִירָה | כְּפָפוֹת עָבוֹת | סִבּוּבִים קְצָרִים
wrestling | מִזְרָן | חִבּוּק | מַפִּילִים לָרִצְפָּה
judo | יָפָן | חֲגוֹרָה | זוֹרְקִים בַּעֲדִינוּת
karate | חֲגוֹרָה שְׁחֹרָה | קִידָה | מַכּוֹת בָּאֲוִיר
kravmaga | יִשְׂרָאֵל | מָגֵן | הֲגָנָה עַצְמִית
fencing | חֶרֶב | מַסֵּכַת רֶשֶׁת | נְקֻדָּה בִּנְגִיעָה
archery | מַטָּרָה | חֵץ | שֶׁקֶט וְדִיּוּק
ski | חֶרְמוֹן | מַקְלוֹת | יוֹרְדִים בַּמִּדְרוֹן
snowboard | שֶׁלֶג | לוּחַ אֶחָד | עוֹמְדִים הַצִּדָּה
skating | אִזּוּן | קֶרַח | מְהִירָה וּשְׁקֵטָה
skateboard | רַמְפָּה | מִדְרָכָה | לוּחַ מִתְגַּלְגֵּל
rollerblades | מִדְרָכָה | פַּארְק | נִקְשָׁרוֹת לָרַגְלַיִם
climbing | קִיר | חֶבֶל | לְמַעְלָה בַּיָּדַיִם
riding | סוּס | אֻכָּף | יוֹשְׁבִים וְנוֹסְעִים
helmet | בְּטִיחוּת | רְצוּעָה לַסַּנְטֵר | קָשָׁה וַעֲגֻלָּה
shinguards | הֲגָנָה | גֶּרֶב גָּבוֹהַּ | קָשִׁים וּמֻסְתָּרִים
contest | מִי רִאשׁוֹן | שׁוֹפֵט | יֵשׁ מְנַצֵּחַ
championship | עוֹנָה | טַבְלָה | נִמְשֶׁכֶת שָׁנָה
tournament | סִבּוּבִים | לוּחַ מִשְׂחָקִים | מַפְסִיד וְיוֹצֵא
league | טַבְלָה | לוּחַ מִשְׂחָקִים | כֻּלָּם מִשְׁתַּתְּפִים
olympics | חֲמִשָּׁה עִגּוּלִים | לַפִּיד | אַחַת לְאַרְבַּע
team | שִׁתּוּף | מַדִּים | תָּמִיד בְּיַחַד
nationalteam | הַמְּדִינָה | הַמְנוֹן | הַטּוֹבִים מִכֻּלָּם
medal | צַוָּאר | סֶרֶט | תּוֹלִים אוֹתָהּ
cup | הֲרָמָה | כֶּסֶף מַבְרִיק | מְנִיפִים לְמַעְלָה
prize | הַכָּרָה | טֶקֶס | מְקַבְּלִים בַּסּוֹף
record | הַכִּי | סֵפֶר גִּינֶס | נִשְׁבָּר לִפְעָמִים
win | שִׂמְחָה | חִבּוּקִים | טַעַם מָתוֹק
loss | אַכְזָבָה | חֲדַר הַלְבָּשָׁה | לוֹמְדִים מִזֶּה
draw | שִׁוְיוֹן | הַאֲרָכָה | בְּלִי מְנַצֵּחַ
supporter | נֶאֱמָנוּת | צְעִיף | צוֹעֵק בַּיָּצִיעַ
crowd | רַעַשׁ | תְּשׁוּאוֹת | רַבִּים בְּיַחַד
hall | גַּג | פַּרְקֶט | סָגוּר וּמְקֻרֶה
whistle | שׁוֹפֵט | חוּט לַצַּוָּאר | קְטַנָּה וְחַדָּה
whistleblow | עֲצִירָה | דֶּגֶל | חַדָּה וְקוֹלָנִית
stopwatch | מְהִירוּת | שְׁנִיּוֹת | לוֹחֲצִים וְעוֹצְרִים
game | כְּלָלִים | תּוֹר | יוֹשְׁבִים וְנֶהֱנִים
chess | מֶלֶךְ וּמַלְכָּה | לוּחַ מְשֻׁבָּץ | נִמְשָׁךְ זְמַן
checkers | לוּחַ מְשֻׁבָּץ | עִגּוּלִים | קוֹפְצִים וְאוֹכְלִים
domino | נְקֻדּוֹת | אֲרִיחִים | נוֹפְלִים בְּשׁוּרָה
cards | חֲלֻקָּה | חֲפִיסָה | מְעַרְבְּבִים לִפְנֵי
taki | שִׁנּוּי צֶבַע | חֲפִיסָה | קוֹרְאִים בְּקוֹל
monopoly | כֶּסֶף | קֻבִּיּוֹת | נִמְשָׁךְ שָׁעוֹת
puzzle | סַבְלָנוּת | תְּמוּנָה בַּקֻּפְסָה | מְחַבְּרִים לְאַט
toy | יְלָדִים | קֻפְסָה | צִבְעוֹנִי וְאָהוּב
doll | טִפּוּל | עֲרִיסָה | דּוֹמָה לְאָדָם
teddy | לַיְלָה | מִטָּה | רַךְ וּמְמֻלָּא
lego | חִבּוּר | הוֹרָאוֹת | כּוֹאֵב לִדְרֹךְ
marbles | חֹר בָּאֲדָמָה | שַׂקִּית | זְכוּכִית עֲגֻלָּה
balloon | מְסִבָּה | חוּט | מִתְנַפֵּחַ וּמִתְפּוֹצֵץ
kite | רוּחַ | חוּט אָרֹךְ | עוֹלֶה לַשָּׁמַיִם
robot | תִּכְנוּת | סוֹלְלוֹת | זָז לְבַדּוֹ
drone | צִלּוּם מִגָּבוֹהַּ | שֶׁלֶט | טָס וּמְזַמְזֵם
jumprope | הַפְסָקָה | שְׁתֵּי יָדִיּוֹת | מִסְתּוֹבֵב בָּאֲוִיר
hoop | מָתְנַיִם | סִבּוּב | עָגֹל וְגָדוֹל
slide | יְרִידָה | מִגְרָשׁ | חֲלָקָה וּמְהִירָה
swing | דְּחִיפָה | שְׁתֵּי שַׁרְשְׁרָאוֹת | הָלוֹךְ וַחֲזוֹר
trampoline | חָצֵר | רֶשֶׁת בְּטִיחוּת | מַחֲזִירָה לְמַעְלָה
sandbox | בְּנִיָּה | דְּלִי וְאֵת | לַקְּטַנִּים
ladder | עֲלִיָּה | שְׁלִיבוֹת | מְטַפְּסִים עָלָיו
hopscotch | גִּיר | אֶבֶן קְטַנָּה | רֶגֶל אַחַת
tag | בְּרִיחָה | חָצֵר | רָצִים וְצוֹעֲקִים
hideandseek | עֵינַיִם עֲצוּמוֹת | אָרוֹן | אֶחָד מְחַפֵּשׂ
