@category בגדים, צבעים וצורות

# ── מה שלובשים למעלה ─────────────────────────────────────────────────────────
clothes | בְּגָדִים | shirt | pants | dress | coat | shoes
buckle | אַבְזָם | belt | button | zipper | pin | shoelace
tie | עניבה | suit | collar | shirt | belt | buckle
bowtie | עֲנִיבַת פַּרְפָּר | collar | suit | shirt | pin | button

# ── פרטים בבגד ───────────────────────────────────────────────────────────────
button | כפתור | zipper | pocket | seam | shoelace | buckle
zipper | רוכסן | button | pocket | seam | bag | buckle
pocket | כיס | button | zipper | sleeve | pants | bag
sleeve | שרוול | collar | pocket | shirt | seam | sweater
collar | צוארון | sleeve | button | shirt | tie | pocket
seam | תֶּפֶר | thread | needle | button | zipper | fabric
thread | חוט | needle | seam | fabric | button | wool
needle | מַחַט | thread | seam | pin | button | fabric
fabric | בַּד | wool | cotton | thread | seam | clothes
wool | צֶמֶר | cotton | fabric | sweater | thread | scarf
cotton | כֻּתְנָה | wool | fabric | tshirt | thread | socks
size | מִדָּה | clothes | fashion | shoes | shirt | pants
fashion | אָפְנָה | clothes | dress | size | color | shoes

# ── צבעים ────────────────────────────────────────────────────────────────────
color | צֶבַע | red | blue | yellow | green | dark
red | אָדֹם | orange-color | pink | purple | yellow | brown
orange-color | כָּתֹם | red | yellow | pink | brown | beige
yellow | צָהֹב | orange-color | green | gold | red | beige
green | יָרֹק | turquoise | yellow | blue | lightblue | gray
turquoise | טוּרְקִיז | lightblue | green | blue | purple | silver
blue | כָּחֹל | lightblue | turquoise | purple | green | dark
lightblue | תְּכֵלֶת | blue | turquoise | white | green | silver
purple | סָגֹל | pink | blue | red | turquoise | dark
pink | וָרֹד | purple | red | orange-color | beige | white
brown | חוּם | beige | orange-color | gray | black | red
beige | בֵּז' | brown | white | gray | pink | yellow
black | שָׁחֹר | white | gray | dark | brown | silver
white | לָבָן | black | gray | beige | lightblue | silver
gray | אָפֹר | black | white | silver | brown | beige
gold | זָהָב | silver | yellow | brown | crown | color
silver | כֶּסֶף | gold | gray | white | turquoise | color
dark | כֵּהֶה | black | blue | purple | color | gray

# ── צורות ────────────────────────────────────────────────────────────────────
circle | עִגּוּל | square-shape | triangle | rectangle | dot | cube
square-shape | רִבּוּעַ | rectangle | triangle | circle | cube | checks
rectangle | מַלְבֵּן | square-shape | triangle | circle | line | cube
triangle | מְשֻׁלָּשׁ | square-shape | circle | rectangle | arrow | cube
cube | קֻבִּיָּה | square-shape | circle | rectangle | triangle | dot
line | קַו | stripe | dot | arrow | rectangle | checks
stripe | פַּס | line | checks | dot | ribbon | color
checks | מִשְׁבְּצוֹת | stripe | square-shape | dot | line | color
dot | נְקֻדָּה | circle | line | stripe | checks | pin
arrow | חֵץ | line | triangle | circle | dot | stripe
