@category טבע ומזג אוויר

# ── הרים ובקעות ──────────────────────────────────────────────────────────────
mountain | הר | hill | summit | valley | cliff | volcano
fog | ערפל | cloud | dew | drizzle | smoke | air
sun | שמש | sunrise | sunset | heat | sky | shade
shade | צל | sun | cloud | darkness | heat | cold
heat | חם | cold | heatwave | hamsin | sun | dryness
cold | קר | heat | frost | ice | snow | wind
heatwave | שרב | hamsin | heat | dryness | drought | sun
hamsin | חמסין | heatwave | heat | dryness | dust | sun
dryness | יבש | drought | heatwave | hamsin | dust | desert
drought | בצרת | dryness | heatwave | hamsin | desert | heat
humidity | לחות | heat | dew | fog | rain | air
lightning | ברק | thunder | storm | rain | cloud | spark
thunder | רעם | lightning | storm | rain | cloud | wind
rainbow | קשת בענן | cloud | rain | sun | light | sky

# ── מודדים ומספרים ───────────────────────────────────────────────────────────
weather | מֶזֶג אֲוִיר | forecast | temperature | season | cloud | wind
forecast | תחזית | weather | temperature | thermometer | cloudy | clear
temperature | טמפרטורה | degrees | thermometer | forecast | heat | cold
degrees | מעלות | temperature | thermometer | forecast | heat | cold
thermometer | מדחום | temperature | degrees | forecast | heat | cold
clear | בהיר | cloudy | sun | sky | air | light
cloudy | מענן | clear | cloud | fog | rain | sky
air | אויר | wind | sky | humidity | fog | weather

# ── שמים וחלל ────────────────────────────────────────────────────────────────
sky | שמים | cloud | star | moon | sun | horizon
horizon | אפק | sky | sunset | sunrise | sea | view
view | נוֹף | horizon | mountain | field | nature | sky
nature | טֶבַע | view | forest | field | mountain | sky
sunrise | זריחה | sunset | sun | morning | light | sky
sunset | שקיעה | sunrise | sun | evening | horizon | light
star | כוכב | moon | planet | comet | sky | space
moon | ירח | star | sun | planet | sky | night
planet | כּוֹכַב לֶכֶת | star | earth | moon | space | comet
comet | שָׁבִיט | star | planet | moon | space | earth
earth | כְּדוּר הָאָרֶץ | planet | continent | moon | space | land
space | חָלָל | star | planet | earth | moon | sky
light | אוֹר | darkness | shade | sun | spark | fire
darkness | חֹשֶׁךְ | light | night | shade | evening | midnight
fire | אֵשׁ | smoke | spark | heat | lava | light
smoke | עָשָׁן | fire | spark | fog | dust | air
spark | נִצּוֹץ | fire | smoke | light | lightning | star

# ── זמן ועונות ───────────────────────────────────────────────────────────────
season | עונה | springtime | summer | autumn | winter | weather
springtime | אביב | summer | autumn | winter | season | bloom
summer | קיץ | springtime | autumn | winter | season | heat
autumn | סתו | winter | springtime | summer | season | rain
winter | חרף | autumn | summer | springtime | season | snow
bloom | פְּרִיחָה | springtime | season | summer | nature | view
day | יוֹם | night | morning | evening | noon | midnight
night | לַיְלָה | day | evening | midnight | darkness | moon
morning | בֹּקֶר | evening | noon | day | sunrise | night
noon | צָהֳרַיִם | morning | evening | day | sun | night
evening | עֶרֶב | night | morning | noon | sunset | day
midnight | חֲצוֹת | night | evening | day | darkness | moon
